He,She
I want to fuck you hottie,Please fuck me really hard
Your pussy is really wet,My pussy is tight and can take a lot of pain
"Suck my cock, please","Please I will, I just need you to fuck me"
"Please, I will, keep sucking my cock","please, I need your cum"
"I am going to cum, but you can close your eyes and let me cum in your mouth","Oh my god, I can feel it growing in my pussy"
 I will cum,please cum in my mouth
ohhh fuck!,"oh fuck that's big, I love that"
"oh fuck that's fucking hot, so wet","please cum for me, cum for your love"
 I'm cumming!,please cum in my mouth
I'm going to go for another load,please cum in my mouth
Hey baby you are hot!!!!!!,"wow that's amazing, thank you"
You know what!,I'm glad I didn't stop you
You tell me!,"Hello, sweetie… what’s up?"
What are you wearing?,I think I do but I’d like you to tell me.
Great I love feet. But tell me about your panties.,What do you want to know?
Are you wet?,"T-shirt and jeans, bare feet, red pedicure."
Tell me where your hands are.,"Thong, baby. Black lace. Sheer and snug."
Grab your titties.,How will you know?
"No, wait. Tell me how it feels first. Rubbing your tits.",Mmmm.. tell me where you want them.
Can you imagine my hands gliding across your skin?,"Way ahead of you, baby. I’ve been squeezing my DD’s when you type."
"Yeah, that’s what I’m talking about.",Should I pull on my nipples?
"Now, I need you to take your right hand and start playing with yourself.",My tits feel great. Firm. Bouncy. Very sensitive.
"Will you do that for me, babe?",I like to graze my fingernails across my breasts.
Check if you’re wet. Slide your right index finger into your pussy crack.,And then pinch my nipples as hard as I can.
Tell me — are you wet?,(sometimes I squeal!)
Good girl. Now take your middle finger and ease it between your pussy lips.,Your hands are rough (giggles) and strong and manly.
Take your time. Tell me everything.,<knees melting>
"Lick your finger, how is it?",<heart pounding>
Do you wish I was right there with you right now?,<pussy moistening>
"If I was, I’d be kissing on your neck.",Talk me through it.
Slowly up to your left ear — my voice and hot breath:,Dripping.
“I’m so fuckin’ hard right now.”,"I can feel my own pussy heat, so hot on my hand."
"Working my way down your collarbone, your breasts.",So slippery.
Licking every inch of your full left tit before taking that perky nipple into my mouth!.,I’m drenched.
"Stomach kisses, hip kisses, thigh kisses… know where I’m going?","Can I taste please? Just a drop, I have so much to spare."
"Gliding my tongue, flicking your slit.","Mmmmm…. my pussy juice is sweet, baby, and there’s so much of it for you."
It’s heaven.,Goddamn I’m so hot this is so hot you are so hot
Your cunt is like candy! Your thighs soft and supple like bubblegum.,Please don’t forget the right one!
<burying my face between your legs>,"Spreading for you, baby! Oh please baby oh please eat me up!"
Only if we can keep going.,"How’s my pussy, baby?"
I think your ass is jealous of your pussy.,Tell me how you like to eat my pussy.
"Turn over, Ima eat your ass.",My clit is on fire! Please can I cum?
And then I’m gonna fuck it.,OK I’m back (dropped the phone).
I am serious about the fucking.,"I’m glad you wanna eat my ass too, it’s been awhile."
"No, do you have a dildo or a vibrator? I want you to put it up your ass.",Me too.
I will wait.,OK I’ve got it.
Good girl.,OMG I can’t believe I’m doing this. It’s HUGE!
Lube up.,Dunno if I can get it all in but I will try.  😉
What color?,"I have a thick rubber dildo, about 9″ but very wide head especially."
Cute.,Purple. Clear-ish. Sparkles.
You are funny. Keep going.,Shut up I’m tickling my ass with the fat head. heheh
Push it in?,All slippery with lube. Been so long. Pucker! Whoo!
I wish I was there to finger your clit and drip warmed lube on your dildo.,"I am! OMG so nice. I’m on my back, knees bent."
Nice and light around the pink. Softly exploratory fingers too.,Legs crossed and in the air.
"Push gently baby, open your asshole for my big dick.",Twisting dildo head like screw in asshole entrance.
"No, no. Relax. Go slow. Breathe baby breathe",Not yet. Mmm. Nice. Tell me something sweet.
How does that feel?,And feather-lick my asshole. I love that.
Tell me how my hard cock feels in your tight little asshole.,Nice. Good. More.
Baby?,You’re too big.
"Take it, baby. That’s me. I’m in your ass and you feel perfect.",OK IT IS IN! Holy shit I have all 9 inches in my ass for you!
Can you DP?,I can’t believe you talked me into this!!!!!!
Do it!,"Ha! I have a candle on my nightstand, dare me?"
I am going to be jerking off over this forever.,OMG your huge hard dick is filling up my ass
